peer_addr = 127.0.0.1:5555
test begin!

BlockID  bct  BlockSize  Priority  Deadline
      2037         1      1265         1       200
      2033         1      1325         1       200
      2041         4     58350         2       200
      2045         0      1285         1       200
      2049         0      1295         1       200
      2053         0      9455         2       200
      2057         0      1265         1       200
      2061         0      1300         1       200
      2065         3     42995         2       200
      2069         0      1370         1       200
      2073         0      1275         1       200
      2077        18    522375         2       200
      2081         0      1235         1       200
      2085         1      1285         1       200
      2089         2     30635         2       200
      2093         0      1275         1       200
      2097         0      1285         1       200
      2101         4     57015         2       200
      2105         0      1285         1       200
      2109         0      1250         1       200
      2113         2     28840         2       200
      2117         1      1320         1       200
      2121         1      1295         1       200
      2125         4     69250         2       200
      2129         0      1400         1       200
      2133         0      1235         1       200
      2137         2     31205         2       200
      2141         0      1250         1       200
      2145         0      1270         1       200
      2149         5     63230         2       200
      2153         0      1365         1       200
      2157         0      1385         1       200
      2161         1     25415         2       200
      2165         0      1285         1       200
      2169         1      1230         1       200
      2173         4     74505         2       200
      2177         0      1260         1       200
      2181         1      1310         1       200
      2185         1     29715         2       200
      2189         1      1290         1       200
      2193         1      1300         1       200
      2197         5     66595         2       200
      2201         5      1385         1       200
      2205         1      1310         1       200
      2209         2     28535         2       200
      2213         2      1260         1       200
      2217         1      1235         1       200
      2221         4     81305         2       200
      2225         4      1275         1       200
      2229         0      1940         1       200
      2237         1      1190         1       200
      2233         1     26700         2       200
      2241         4     66070         2       200
      2245         0      1195         1       200
      2249         1      1275         1       200
      2253         2     29460         2       200
      2257         0      1205         1       200
      2261         1      1265         1       200
      2265         6     88000         2       200
      2269         0      1200         1       200
      2273         0      1240         1       200
      2277         1     28610         2       200
      2285         0      1290         1       200
      2281         0      1285         1       200
      2289         4     76370         2       200
      2297         1      1250         1       200
      2293         1      1290         1       200
      2301         1     32975         2       200
      2309         1      1295         1       200
      2305         0      1325         1       200
      2313         3     56760         2       200
      2317         0      1260         1       200
      2321         0      1265         1       200
      2325         2     34525         2       200
      2329         0      1235         1       200
      2333         0      1270         1       200
      2337         5     90450         2       200
      2341         0      1260         1       200
      2345         0      1260         1       200
      2349         2     35795         2       200
      2353         0      1245         1       200
      2357         1      1320         1       200
      2361         3     55295         2       200
      2365         1      1300         1       200
      2369         0      1315         1       200
      2373         3     32355         2       200
      2377         0      1255         1       200
      2381         0      1275         1       200
      2385         7     96505         2       200
      2389         0      1275         1       200
      2393         0      1255         1       200
      2397         2     31430         2       200
      2401         0      1295         1       200
      2405         1      1275         1       200
      2409         3     52715         2       200
      2413         0      1300         1       200
      2417         0      1240         1       200
      2421         2     30480         2       200
      2425         0      1280         1       200
      2429         0      1280         1       200
      2433         6     95435         2       200
      2437         0      1340         1       200
      2441         0      1295         1       200
      2445         1     28995         2       200
      2449         1      1285         1       200
      2453         0      1275         1       200
      2457         4     52085         2       200
      2461         4      1300         1       200
      2465         0      1300         1       200
      2469         2     30315         2       200
      2473         2      1330         1       200
      2477         0      1360         1       200
      2481         5     91330         2       200
      2485         5      1270         1       200
      2489         0      1230         1       200
      2493         1     30860         2       200
      2497         1      1295         1       200
      2501         0      1325         1       200
      2509         4      1200         1       200
      2505         3     51060         2       200
      2513         2     34190         2       200
      2517         0      1235         1       200
      2521         0      1275         1       200
      2525         6     93445         2       200
      2529         1      1305         1       200
      2533         1      1300         1       200
      2537         3     32485         2       200
      2541         0      1285         1       200
      2545         1      1320         1       200
      2549         4     54100         2       200
      2553         0      1270         1       200
      2557         1      1315         1       200
      2561         2     29490         2       200
      2565         0      1305         1       200
      2569         1      1265         1       200
      2573         7     97540         2       200
      2577         1      1255         1       200
      2581         0      1285         1       200
      2585         3     31035         2       200
      2589         1      1315         1       200
      2593         0      1300         1       200
      2597         3     53040         2       200
      2601         0      1305         1       200
      2605         0      1305         1       200
      2609         2     32030         2       200
      2613         0      1335         1       200
      2617         1      1290         1       200
      2621         5     91920         2       200
      2625         0      1260         1       200
      2629         1      1320         1       200
      2633         2     31315         2       200
      2637         0      1290         1       200
      2641         0      1270         1       200
      2645         4     52790         2       200
      2649         0      1260         1       200
      2653         0      1275         1       200
      2657         2     29335         2       200
      2661         0      1280         1       200
      2665         0      1335         1       200
      2669         6     97615         2       200
      2673         1      1265         1       200
      2677         1      1285         1       200
      2681         2     32725         2       200
      2685         0      1270         1       200
      2689         1      1345         1       200
      2693         4     53150         2       200
      2697         0      1420         1       200
      2701         0      1810         1       200
      2705         2     30085         2       200
      2709         0      1300         1       200
      2713         0      1295         1       200
      2717         5     85020         2       200
      2721         5      1285         1       200
      2725         0      1180         1       200
      2733         1      1140         1       200
      2729         1     31280         2       200
      2737         0      1200         1       200
      2745         4      1120         1       200
      2741         4     53555         2       200
      2749         0      1205         1       200
      2757         2      1190         1       200
      2753         2     30930         2       200
      2761         1      1205         1       200
      2769         6      1185         1       200
      2765         6     86340         2       200
      2773         2     31165         2       200
      2777         0      1150         1       200
      2781         0      1290         1       200
      2785         3     52350         2       200
      2789         0      1190         1       200
      2793         0      1280         1       200
      2797         2     31005         2       200
      2805         1      1260         1       200
      2801         0      1225         1       200
      2809         4     77730         2       200
      2813         0      1250         1       200
      2817         0      1255         1       200
      2821         1     33265         2       200
      2825         0      1250         1       200
      2829         0      1250         1       200
      2833         3     52350         2       200
      2837         0      1270         1       200
      2841         0      1270         1       200
      2845         2     35020         2       200
      2849         0      1300         1       200
      2853         1      1235         1       200
      2857         3     65795         2       200
      2861         0      1260         1       200
      2865         0      1250         1       200
      2869         1     33940         2       200
      2873         0      1270         1       200
      2877         0      1260         1       200
      2881         4     56125         2       200
      2885         0      1315         1       200
      2889         0      1265         1       200
      2893         3     40675         2       200
      2897         0      1245         1       200
      2901         0      1280         1       200
      2905         4     50000         2       200
      2909         0      1250         1       200
      2913         1      1290         1       200
      2917         3     42190         2       200
      2921         0      1290         1       200
      2925         0      1305         1       200
      2929        31   1000000         2       200
      2933         0      1270         1       200
      2937         3      1300         1       200
      2941         0      8835         2       200
      2945         0      1270         1       200
      2949         0      1295         1       200
      2953         1      5600         2       200
      2957         0      1260         1       200
      2961         0      1260         1       200
      2965         6     92610         2       200
      2969         0      1310         1       200
      2973         1      1275         1       200
      2981         0      1265         1       200
      2977         0      6870         2       200
      2985         0      1250         1       200
      2989         1     12090         2       200
      2993         1      1305         1       200
      2997         0      1255         1       200
      3005         1      1255         1       200
      3001         1      9080         2       200
      3009         0      1280         1       200
      3013         6     72260         2       200
      3017         5      1300         1       200
      3021         9      1335         1       200
      3025         0      6690         2       200
      3029         1      1340         1       200
      3033         1     13030         2       200
      3037         1      1270         1       200
      3041         1      1315         1       200
      3045         0      7965         2       200
      3053         0      1305         1       200
      3049         0      1310         1       200
      3057         5     72960         2       200
      3065         1      1275         1       200
      3061         1      1245         1       200
      3069         0      8215         2       200
      3073         0      1275         1       200
      3077         0      1250         1       200
      3081         1     12140         2       200
      3085         0      1305         1       200
      3089         0      1295         1       200
      3093         1      6445         2       200
      3097         0      1260         1       200
      3101         1      1290         1       200
      3105         4     66780         2       200
      3109         0      1315         1       200
      3113         1      1335         1       200
      3117         0      7305         2       200
      3121         0      1275         1       200
      3125         0      1270         1       200
      3129         1     11590         2       200
      3133         0      1255         1       200
      3137         0      1330         1       200
      3141         1      6940         2       200
      3145         1      1270         1       200
      3149         1      1250         1       200
      3153         4     60500         2       200
      3157         0      1255         1       200
      3161         1      1290         1       200
      3165         1      6465         2       200
      3169         0      1300         1       200
      3173         0      1305         1       200
      3177         1     11740         2       200
      3181         0      1275         1       200
      3185         0      1270         1       200
      3189         1      6010         2       200
      3193         0      1285         1       200
      3197         1      1245         1       200
      3201         4     55965         2       200
      3205         0      1275         1       200
      3209         1      1320         1       200
      3213         0      6865         2       200
      3217         1      1295         1       200
      3221         0      1240         1       200
      3225         4     54495         2       200
      3229         1      1290         1       200
      3233         0      1270         1       200
      3237         1      7775         2       200
      3241         1      1340         1       200
      3245         0      1275         1       200
      3249         2     19075         2       200
      3253         2      1260         1       200
      3257         0      1275         1       200
      3261         1      6370         2       200
      3265         1      1260         1       200
      3269         0      1290         1       200
      3277         5      1285         1       200
      3273         5     73835         2       200
      3281         1      1345         1       200
      3289         1      1250         1       200
      3285         1      8630         2       200
      3293         2     16875         2       200
      3297         0      1290         1       200
      3301         0      1355         1       200
      3305         1      7090         2       200
      3313         1      1255         1       200
      3309         1      1275         1       200
      3317         4     63230         2       200
      3325         1      1265         1       200
      3321         1      1295         1       200
      3329         0      6535         2       200
      3333         0      1295         1       200
      3337         1      1255         1       200
      3341         2     15720         2       200
      3349         1      1340         1       200
      3345         0      1325         1       200
      3353         1      6450         2       200
      3357         0      1265         1       200
      3361         0      1285         1       200
      3365         4     53595         2       200
      3369         0      1245         1       200
      3373         0      1265         1       200
      3377         1      7520         2       200
      3381         0      1295         1       200
      3385         1      1240         1       200
      3389         1     18410         2       200
      3393         0      1275         1       200
      3397         0      1240         1       200
      3401         0      6315         2       200
      3405         1      1280         1       200
      3409         0      1285         1       200
      3413         3     50150         2       200
      3417         0      1275         1       200
      3421         0      1300         1       200
      3425         1      8595         2       200
      3429         0      1290         1       200
      3433         0      1335         1       200
      3437         1     17280         2       200
      3441         0      1275         1       200
      3445         1      1270         1       200
      3449         0      9025         2       200
      3453         0      1305         1       200
      3457         0      1300         1       200
      3461         4     51510         2       200
      3465         0      1275         1       200
      3469         0      1270         1       200
      3473         1      7670         2       200
      3477         0      1255         1       200
      3481         0      1315         1       200
      3485         1     17895         2       200
      3489         0      1260         1       200
      3493         1      1290         1       200
      3497         0      8165         2       200
      3501         0      1260         1       200
      3505         0      1285         1       200
      3509         4     43495         2       200
      3513         3      1270         1       200
      3517         0      1285         1       200
      3525         1      1260         1       200
      3521         1     10905         2       200
      3529         1      1285         1       200
      3533         1     15270         2       200
      3537         1      1315         1       200
      3541         0      1265         1       200
      3545         1      8630         2       200
      3549         1      1295         1       200
      3553         0      1295         1       200
      3561         2      1345         1       200
      3557         2     31550         2       200
      3565         1      9625         2       200
      3569         0      1270         1       200
      3573         0      1230         1       200
      3577         1     13875         2       200
      3581         0      1305         1       200
      3585         0      1280         1       200
      3589         1      8455         2       200
      3593         0      1220         1       200
      3597         0      1280         1       200
      3601         1     20460         2       200
      3605         0      1305         1       200
      3609         0      1285         1       200
      3613         1     12750         2       200
      3617         0      1245         1       200
      3621         0      1280         1       200
      3625         2     21490         2       200
      3629         0      1280         1       200
      3633         0      1315         1       200
      3637        33   1000000         2       200
      3641         0      1305         1       200
      3645         3      1265         1       200
      3649         0      5440         2       200
      3653         0      1315         1       200
      3657         1      1315         1       200
      3661         0      1515         2       200
      3665         0      1265         1       200
      3669         0      1290         1       200
      3673        10    208725         2       200
      3677         0      1280         1       200
      3681         0      1260         1       200
      3685         1      2000         2       200
      3689         0      1280         1       200
      3693         0      1300         1       200
      3697         0      5785         2       200
      3701         0      1285         1       200
      3705         1      1300         1       200
      3709         0      3340         2       200
      3713         0      1260         1       200
      3717         0      1250         1       200
      3721         8    116320         2       200
      3725         0      1285         1       200
      3729         1      1300         1       200
      3733         0      2730         2       200
      3737         0      1285         1       200
      3741         0      1275         1       200
      3745         1      4130         2       200
      3749         0      1280         1       200
      3753         0      1300         1       200
      3757         1      1910         2       200
      3761         1      1220         1       200
      3765         0      1495         1       200
      3769         5     68175         2       200
      3773         5      1270         1       200
      3777         0      1250         1       200
      3781         1      2815         2       200
      3785         1      1280         1       200
      3789         1      1235         1       200
      3793         0      4290         2       200
      3797         0      1230         1       200
      3801         0      1240         1       200
      3805         0      1270         2       200
      3809         0      1240         1       200
      3813         0      1190         1       200
      3817         6     65440         2       200
      3821         6      1240         1       200
      3825         1      2060         2       200
      3829         0      1235         1       200
      3833         1      1235         1       200
      3837         0       690         2       200
      3845         0      1270         1       200
      3841         0      1265         1       200
      3849         2     23445         2       200
      3853         0      1385         1       200
      3857         0      1445         1       200
      3861         0      2090         2       200
      3865         0      1235         1       200
      3869         0      1200         1       200
      3873         0      1150         2       200
      3881         0      1320         1       200
      3877         0      1265         1       200
      3885         2     24645         2       200
      3889         1      1285         1       200
      3893         1      1380         1       200
      3897         0      1125         2       200
      3901         0      1385         1       200
      3905         0      1345         1       200
      3909         0      3715         2       200
      3913         0      1395         1       200
      3917         0      1330         1       200
      3921         1      1035         2       200
      3925         0      1245         1       200
      3929         0      1270         1       200
      3933         4     59100         2       200
      3937         0      1485         1       200
      3941         0      1165         1       200
      3945         0      1815         2       200
      3949         1      1195         1       200
      3953         1      1245         1       200
      3957         0      3970         2       200
      3961         0      1225         1       200
      3965         1      1290         1       200
      3969         0       925         2       200
      3973         0      1260         1       200
      3977         0      1210         1       200
      3981         4     71165         2       200
      3985         0      1180         1       200
      3989         0      1230         1       200
      3993         0      1180         2       200
      3997         0      1235         1       200
      4001         0      1245         1       200
      4005         0      3140         2       200
      4009         0      1230         1       200
      4013         1      1220         1       200
      4017         0      1235         2       200
      4021         1      1315         1       200
      4025         0      1255         1       200
      4029         1     46045         2       200
      4033         1      1825         1       200
      4037         0      1125         1       200
      4041         0      1105         2       200
      4045         0      1185         1       200
      4049         1      1195         1       200
      4053         0      2755         2       200
      4057         0      1225         1       200
      4061         0      1300         1       200
      4065         0       995         2       200
      4069         0      1245         1       200
      4073         0      1275         1       200
      4081         3      1965         1       200
      4077         3     36340         2       200
      4085         0      1155         2       200
      4093         0      1125         1       200
      4089         0      1135         1       200
      4097         1      2220         2       200
      4101         1      1180         1       200
      4105         1      1195         1       200
      4109         0      1165         2       200
      4117         0      1265         1       200
      4113         0      1200         1       200
      4121         2     28855         2       200
      4125         0      1405         1       200
      4129         0      1240         1       200
      4133         0       870         2       200
      4137         1      1180         1       200
      4141         1      1165         1       200
      4145         0      2310         2       200
      4153         0      1200         1       200
      4149         0      1190         1       200
      4157         0       925         2       200
      4161         0      1230         1       200
      4165         0      1250         1       200
      4169         2     21870         2       200
      4173         0      1235         1       200
      4177         0      1245         1       200
      4181         0      1560         2       200
      4185         0      1325         1       200
      4189         1      1385         1       200
      4193         0      4640         2       200
      4197         1      1355         1       200
      4201         0      1320         1       200
      4205         0      4000         2       200
      4209         0      1360         1       200
      4213         0      1315         1       200
      4217         5     74385         2       200
      4221         0      1270         1       200
      4225         0      1255         1       200
      4229         1      3030         2       200
      4233         0      1195         1       200
      4237         0      1235         1       200
      4241         0      4455         2       200
      4245         0      1190         1       200
      4249         1      1155         1       200
      4253         0      2690         2       200
connection closed, recv=22126 sent=8430 lost=6 rtt=3.547245ms cwnd=14520, total_bytes=29255262, complete_bytes=27969375, good_bytes=27969375, total_time=19804678
